YIVO -32.883301 144.309998 331
YJEM -32.410000 147.669998 666
YJER -35.369999 145.725006 112
YJIN -36.426701 148.602005 1037
YKAT -33.668301 150.322998 1001
YKAY -30.683300 142.533005 574
YKEL -30.655001 151.638001 3383
YKMP -31.074400 152.770004 52
YKHA -36.233299 148.117004 1043
YLCG -33.278301 146.369995 171
YKEP -30.900000 150.516998 1040
YLMB -31.100000 149.932999 1007
YLAN -31.450001 142.132996 390
YLEE -34.500000 146.432999 404
YLRD -29.456699 147.983994 541
YLIS -28.830299 153.259995 36
YLHI -31.538300 159.076996 7
YLOH -30.541700 145.100006 331
YMND -32.703300 151.488007 75
YMVM -33.285122 151.212738 919
YMED -32.366699 142.404999 157
YMER -36.908600 149.901001 7
YILT -35.320801 150.438995 161
YMIR -30.150000 147.335007 361
YMIG -34.466702 150.500000 1995
YMLN -30.200001 143.233002 436
YMOR -29.498899 149.845001 702
YMRY -35.897800 150.143997 13
YMOM -35.066700 144.016998 207
YMQD -33.110001 151.138001 889
YMSO -31.389999 151.410004 1362
YMDG -32.562500 149.610992 1545
YMEY -31.100000 149.917007 1030
YMGI -28.966700 149.057999 600
YLMU -33.750000 142.983002 213
YMUR -28.331699 153.412994 7
YNBR -30.319201 149.826996 787
YNAR -34.702202 146.511993 472
YNRM -32.214699 148.225006 781
YXFV -32.920300 151.729996 30
YSNF -29.033333 167.933333 371
YNOR -34.250000 144.332993 223
YSNW -34.950000 150.533333 400
YNYM -32.049999 146.317001 1010
YNYN -31.551100 147.203003 568
YOBR -31.965300 152.591003 10
YORG -33.381699 149.132996 3114
YOLY -31.013300 147.710999 518
YPLI -29.445801 153.266998 23
YPKS -33.131401 148.238998 1070
YPKH -32.750000 148.199997 889
YPLG -30.366699 148.882996 499
YPCE -33.366699 142.587997 49
YPMQ -31.435801 152.863007 13
YPRE -31.476900 149.903000 1257
YQBE -30.879200 147.841995 489
YQUE -30.391701 143.141998 495
YQDI -31.490601 150.514008 1053
YGNB -33.763302 150.636993 194
YRWH -34.633301 144.283005 236
YSRI -33.600000 150.783300 69
YRSH -33.831699 151.024994 3
YRUG -34.391701 148.975006 2201
YSCO -32.037201 150.832001 745
YSCA -33.207199 141.173004 177
YSGT -32.616699 151.199997 46
YSGR -29.708300 152.927994 7
YSBK -33.916667 150.983333 30
YSSY -33.933333 151.166667 20
ASSY -33.950000 151.200000 13
YTBG -35.583302 148.283005 1266
YTMS -31.315001 149.847000 1148
YSTW -33.983333 150.916667 131
YTAD -32.633301 142.082993 115
YTLG -34.289200 149.781998 3031
YTRE -31.883000 152.517000 39
YTEM -34.421398 147.511993 922
YTFD -28.993299 151.979996 2644
YTGV -34.686001 148.104004 1086
YOAS -34.083900 150.559006 909
YTIB -29.450000 142.050000 584
YTLP -30.933300 144.417007 269
YTOC -35.811699 145.608002 371
YTOG -30.082199 149.531998 614
YTWN -31.441700 148.899994 420
YTOT -32.248299 147.367996 240
YTLL -32.616699 147.600006 748
YTMU -35.262798 148.240997 879
YTNC -32.150002 152.483002 7
YTYH -28.600000 153.550003 33
YUPH -30.104700 150.404007 1253
YSWG -35.166667 147.450000 725
YWLG -30.032801 148.126007 440
YWBH -31.533300 150.867004 1765
YWLX -33.866699 150.649994 167
YWAG -29.716700 144.167007 338
YWRL -29.533300 150.533005 348
YWKW -32.566700 151.016998 135
YWVA -33.250000 151.432999 7
YWRN -31.733299 147.802994 669
YWBN -34.186699 150.804993 259
YWJS -35.261700 148.667007 3743
YWWA -30.258301 149.408005 190
YWMG -29.233299 146.932999 404
YWEL -32.466702 148.983002 427
YWTO -34.088299 141.891998 36
YWMD -32.756699 151.529999 72
YWWL -33.937199 147.190994 860
YWST -33.805210 150.989273 30
YWSD -30.725000 141.399994 322
YWHC -30.853300 143.072006 161
YWIL -31.283300 142.667007 627
YWCA -31.526400 143.375000 249
YWLE -35.564999 149.177002 3583
ASWM -32.800000 151.800000 52
YWLM -32.800000 151.833333 33
YWIO -34.233299 150.667007 620
YWMM -30.533300 152.082993 3284
YWOL -34.561100 150.789002 30
YWHP -34.439999 150.897003 13
YWMA -30.651100 142.341995 610
YWDS -35.133301 145.667007 354
YWVL -30.416100 151.755005 3707
YWOM -31.316700 151.132996 1667
YYLD -30.261400 142.977005 397
YYAA -29.683300 141.425003 531
YYAS -34.830002 149.042007 2461
YYNG -34.255600 148.248001 1266
YALC -22.833300 134.449997 1991
YALX -19.060200 136.710007 801
ASAS -23.633300 133.583300 1900
YBAS -23.800000 133.883333 1788
YALM -24.266701 134.399994 1280
YABU -23.333300 133.182999 2070
YAMM -21.738300 135.242004 1273
YAMJ -21.655001 135.229996 1270
YADO -25.411699 135.289993 568
